Date,cazhi,f,pl,t,p
2021/1/4 16:07,25.81,27.115,5951.5,225.2,0.89999998
2021/1/4 17:07,26.9898,28.115999,6537.6899,225.39999,0.84600002
2021/1/4 18:07,23.4199,21.788,4855.0498,223.8,0.88200003
2021/1/4 19:07,27.0703,27.825001,6008.3398,226.7,0.91900003
2021/1/4 20:07,26.19,19.528,4157.1299,224.3,0.92699999
2021/1/4 21:07,27.6796,27.313,5929.7998,227.2,0.91500002
2021/1/4 22:07,27.5601,28.101,6525.9702,229.60001,0.85699999
2021/1/4 23:07,27.7202,27.839001,6290.5898,228.60001,0.88
2021/1/5 0:07,27.4297,27.563,6330.29,229.39999,0.866
2021/1/5 1:07,27.4102,27.128,6212.0498,229.10001,0.86799997
2021/1/5 2:07,23.4599,27.235001,6304.25,228.10001,0.85600001
2021/1/5 3:07,24.3101,26.594999,6254.1401,229.39999,0.84500003
2021/1/5 4:07,27.3901,27.603001,6315.5298,228.7,0.86799997
2021/1/5 5:07,27.3897,27.742001,6515.3398,230,0.847
2021/1/5 6:07,25.6704,27.371,6374.98,230.2,0.85500002
2021/1/5 7:07,27.6499,30.450001,7404.3901,229.3,0.81400001
2021/1/5 8:07,24.5097,27.532,6374.3301,229.10001,0.85799998
2021/1/5 9:07,26.6402,25.931999,5838.6899,225.5,0.87599999
2021/1/5 10:07,26.3799,26.200001,6163.2402,225.39999,0.83600003
2021/1/5 11:07,26.4199,26.275,6013.3301,226.10001,0.86199999
2021/1/5 12:07,24.75,25.618,5963.21,226.8,0.84799999
2021/1/5 13:07,25.7402,25.823999,5628.8999,223.60001,0.90200001
2021/1/5 14:07,26.3301,27.044001,6054.7598,224.5,0.87900001
2021/1/5 15:07,26.3599,26.565001,5882.0698,223.7,0.88800001
2021/1/5 16:07,26.58,26.132999,6027,223.8,0.85000002
2021/1/5 17:07,26.2798,26.572001,5968.2002,224.7,0.87699997
2021/1/5 18:07,26.1304,26.148001,5742.7998,225.3,0.89899999
2021/1/5 19:07,26.3198,26.025,6050.4302,225.39999,0.84600002
2021/1/5 20:07,26.0899,25.603001,5787.9199,226.10001,0.87400001
2021/1/5 21:07,26.0903,26.33,5924.1602,226.3,0.87900001
2021/1/5 22:07,26.4097,26.111,5812.6499,226.3,0.889
2021/1/5 23:07,26.1699,26.058001,5711.77,226.2,0.903
2021/1/6 0:07,25.2402,26.034,5850.3999,228.60001,0.88499999
2021/1/6 1:07,26.46,25.860001,5969.9399,227.60001,0.85799998
2021/1/6 2:07,26.2602,25.944,5881.4199,227.60001,0.875
2021/1/6 3:07,25.2696,26.218,6235.0498,227.5,0.82999998
2021/1/6 4:07,25.25,21.344999,4844.4199,225.10001,0.86799997
2021/1/6 5:07,26.5102,26.535,6253.4902,227.2,0.838
2021/1/6 6:07,26.2798,26.427999,5952.5801,227.3,0.88
2021/1/6 7:07,26.2402,26.427999,6143.2798,227.10001,0.85000002
2021/1/6 8:07,17.8399,26.344999,6169.3101,227.7,0.84500003
2021/1/6 9:07,14.1797,13.974,2953.73,216.89999,0.91600001
2021/1/6 10:07,12.3408,15.027,3038.55,216.60001,0.958
2021/1/6 11:07,13.8193,14.488,3112.75,216.39999,0.89899999
2021/1/6 12:07,13.7901,13.511,2802.52,216.10001,0.93199998
2021/1/6 13:08,14.9101,13.47,2840.27,213.10001,0.90899998
2021/1/6 14:13,13.4697,13.142,2760.4299,215.10001,0.917
2021/1/6 15:13,13.0508,13.835,2899.28,215.39999,0.92000002
2021/1/6 16:13,15.96,13.639,2844.6001,216.10001,0.92699999
2021/1/6 17:13,17.9297,16.131001,3552.28,218.8,0.88099998
2021/1/6 18:13,21.75,16.851,3704.5801,219.2,0.884
2021/1/6 19:13,21.6201,17.854,4075.5601,220.60001,0.852
2021/1/6 20:13,22.3896,22.212999,5202.8101,222.39999,0.82999998
2021/1/6 21:13,22.46,21.606001,4903.21,222.89999,0.86299998
2021/1/6 22:13,24.2002,21.972,5090.8701,225.39999,0.84899998
2021/1/6 23:13,24.6104,24.042,5561.4302,226.60001,0.85299999
2021/1/7 0:13,24.3593,24.285,5564.46,226.3,0.86199999
2021/1/7 1:13,24.7403,24.261999,5845.6299,227.2,0.81800002
