Date,cazhi,0,1
2021/1/4 22:07,27.5601,-99.60056961,-1209.227843
2021/1/4 23:07,27.7202,-79.1450021,-974.7369005
2021/1/5 0:07,27.4297,-82.8586143,-1014.266653
2021/1/5 1:07,27.4102,-72.68282827,-896.4645777
2021/1/5 2:07,23.4599,-84.56612171,-987.9732978
2021/1/5 3:07,24.3101,-79.40069064,-938.1293509
2021/1/5 4:07,27.3901,-81.62426203,-999.5545697
2021/1/5 5:07,27.3897,-98.85435868,-1198.623429
2021/1/5 6:07,25.6704,-88.46579943,-1058.641185
2021/1/5 7:07,27.6499,-175.2478219,-2084.370295
2021/1/5 8:07,24.5097,-89.56429631,-1057.888057
2021/1/5 9:07,26.6402,-41.2526289,-524.4127354
2021/1/5 10:07,26.3799,-69.49425517,-847.7244761
2021/1/5 11:07,26.4199,-56.53055484,-698.3840407
2021/1/5 12:07,24.75,-53.87391264,-648.3091672
2021/1/5 13:07,25.7402,-24.05808663,-315.3203774
2021/1/5 14:07,26.3301,-60.1895478,-739.6447121
2021/1/5 15:07,26.3599,-45.26916269,-567.5981959
2021/1/5 16:07,26.58,-57.54562824,-712.0029273
2021/1/5 17:07,26.2798,-52.77676551,-653.4045021
2021/1/5 18:07,26.1304,-33.49271947,-428.8378632
2021/1/5 19:07,26.3198,-59.82771396,-735.331478
2021/1/5 20:07,26.0899,-37.42446637,-473.7876825
2021/1/5 21:07,26.0903,-49.1711601,-609.5213351
2021/1/5 22:07,26.4097,-39.23857592,-498.4557129
2021/1/5 23:07,26.1699,-30.77953553,-397.9325194
2021/1/6 0:07,25.2402,-43.66243314,-535.9760597
2021/1/6 1:07,26.46,-52.75199607,-655.1667798
2021/1/6 2:07,26.2602,-45.31898294,-566.9617151
2021/1/6 3:07,25.2696,-76.79540225,-919.1810988
2021/1/6 4:07,25.25,43.08953489,466.2705581
2021/1/6 5:07,26.5102,-77.1489279,-937.6589154
2021/1/6 6:07,26.2798,-51.43446259,-637.8570866
2021/1/6 7:07,26.2402,-67.91549045,-827.8373789
2021/1/6 8:07,17.8399,-78.52980893,-853.0488212
2021/1/6 9:07,14.1797,195.0904774,2350.90333
2021/1/6 10:07,12.3408,185.945488,2266.557348
2021/1/6 11:07,13.8193,181.0215721,2192.51129
2021/1/6 12:07,13.7901,207.741037,2501.586467
2021/1/6 13:08,14.9101,205.6073024,2463.898533
2021/1/6 14:13,13.4697,211.0526522,2543.553542
2021/1/6 15:13,13.0508,198.6630455,2405.255599
2021/1/6 16:13,15.96,206.2747078,2459.476492
2021/1/6 17:13,17.9297,147.2161323,1754.254361
2021/1/6 18:13,21.75,137.8901062,1602.190625
2021/1/6 19:13,21.6201,105.7724237,1232.600571
2021/1/6 20:13,22.3896,9.344140316,109.4822832
2021/1/6 21:13,22.46,35.24482237,407.9528181
2021/1/6 22:13,24.2002,20.79423781,220.8305315
2021/1/6 23:13,24.6104,-19.3710743,-248.0160323
2021/1/7 0:13,24.3593,-19.88203162,-251.0120957
2021/1/7 1:13,24.7403,-43.74616278,-531.1658462
